draw,delta_rho
0,0.011618646839104074
1,0.01163312437503472
2,0.011218188444655386
3,0.011712977053549123
4,0.011543112631294927
5,0.011486515662677999
6,0.011984309341231847
7,0.011592115634913358
8,0.011447051765093641
9,0.011698399887820843
10,0.011695758767485742
11,0.011880536477482662
12,0.011544672652833321
13,0.012153384107345122
14,0.012119246287403573
15,0.011351553380331891
16,0.0118463640926455
17,0.012060393287459559
18,0.010860438534307848
19,0.011926194134663892
20,0.011525242303501382
21,0.011582685008279303
22,0.01139311939071308
23,0.011518146997245182
24,0.011745225819865257
25,0.011969509676901358
26,0.011415183741239288
27,0.011914305302113792
28,0.011808779724282847
29,0.011742855658475437
30,0.012125106500611271
31,0.012011844559736362
32,0.011888391220663652
33,0.011297484279779502
34,0.011768493182437778
35,0.01131267728107066
36,0.011642931798226841
37,0.011809180491432536
38,0.01244231132621032
39,0.011602890412502842
40,0.01184888019159025
41,0.011298791166696853
42,0.011851999587383255
43,0.011889169658905185
44,0.011221403258440232
45,0.011135231714660798
46,0.012376918435366036
47,0.01180733131121825
48,0.011270652134764858
49,0.011453180421935771
50,0.011775684440265444
51,0.011822654589878523
52,0.011553040360568034
53,0.011993554856471134
54,0.010647687192774202
55,0.012737009574890434
56,0.011669796458973924
57,0.01208594492412951
58,0.0118650500014027
59,0.011411093356991753
60,0.012070331608638463
61,0.0113657334618954
62,0.011706570036994157
63,0.011790725189713469
64,0.011572371861026998
65,0.011773637169070983
66,0.01183782997858085
67,0.011878344255340845
68,0.011838070771928777
69,0.011498616832088637
70,0.011136053759313924
71,0.011350342995408269
72,0.011918246591872794
73,0.011215167665380554
74,0.01151076955540642
75,0.011975981340348385
76,0.010989305059930454
77,0.011644000553089673
78,0.01096814491135134
79,0.011467906179823628
80,0.011901450795994917
81,0.012683511224738875
82,0.011421031560605033
83,0.013249037132404995
84,0.011753885336138636
85,0.011403326755553111
86,0.011224238119016294
87,0.011730966983670044
88,0.01221822658792282
89,0.011520820646955032
90,0.012184619909500038
91,0.011613889729000348
92,0.011693978125186688
93,0.010936177218564547
94,0.012332237672228685
95,0.01244673927715123
96,0.011944210161490387
97,0.011881219941325738
98,0.012456785468983766
99,0.011426261435852902
100,0.01156427255358039
101,0.011913945731187536
102,0.011469308237286757
103,0.011411715035841596
104,0.011375201690142833
105,0.01178017102095763
106,0.011293481053649024
107,0.011747545559395944
108,0.011605790001425142
109,0.011618581055071742
110,0.01138647964055739
111,0.010754008301392726
112,0.011786021050859352
113,0.011833130862702768
114,0.011583583686799237
115,0.01258184760109804
116,0.011741392195783407
117,0.012046181064520711
118,0.011696277510380493
119,0.012300924483039322
120,0.011278530063809633
121,0.011584358290605334
122,0.011709196597556759
123,0.0115843550289354
124,0.011879709295731566
125,0.011399688788244378
126,0.011608335353178179
127,0.011625956456988162
128,0.011969322488853407
129,0.01156455070153839
130,0.01149971153202145
131,0.011922511018289339
132,0.011616300347949138
133,0.01100879858760595
134,0.01233093370420646
135,0.012104769793979453
136,0.012126754247416494
137,0.011574556224687949
138,0.011813338325405653
139,0.011257693041027306
140,0.011803592832365206
141,0.011813543906826984
142,0.0113572473158573
143,0.011747775104459679
144,0.012095035628151729
145,0.011560808824851554
146,0.011871554140295726
147,0.012297890523414456
148,0.011771378493850015
149,0.011402949524088046
150,0.011591552189472942
151,0.011378643275475109
152,0.012291098194768812
153,0.01152874484328803
154,0.011758407899207457
155,0.011364095060528823
156,0.011801402004791406
157,0.012260918665406129
158,0.011578433871799021
159,0.011838228408596718
160,0.012325127577595296
161,0.011525275088756004
162,0.011768833249833244
163,0.011987303740270017
164,0.01226164473734992
165,0.011346355413247355
166,0.012175152776619846
167,0.011601986861533242
168,0.011672637099035543
169,0.01186925801912797
170,0.011621531050070133
171,0.011670825694880538
172,0.011462179800232897
173,0.011770726392759667
174,0.012021939589374808
175,0.012121742833133275
176,0.0116219895862818
177,0.011685444789577448
178,0.011142724250959857
179,0.011495585605184155
180,0.011950170227586043
181,0.012277515149104135
182,0.011843913094827463
183,0.012290239910689893
184,0.010870483195162595
185,0.011733739146430278
186,0.01129150458967676
187,0.01205051047705985
188,0.012058223139337021
189,0.011323619570790755
190,0.011882085465197867
191,0.01116226220119565
192,0.012530825628550568
193,0.012221904501227066
194,0.011758703534798243
195,0.0113688190874901
196,0.012077020939246785
197,0.011527164142166146
198,0.011282660352208373
199,0.012775956259867827
